wzrost;waga;wiek
165;72;72
173;76;66
154;57;64
183;87;64
160;69;63
148;50;63
153;54;63
170;72;62
177;85;62
157;65;61
193;102;61
173;75;60
168;78;59
186;91;59
180;80;58
166;74;58
172;81;58
144;45;58
155;55;58
163;64;57
175;82;57
177;82;57
173;73;57
173;77;57
174;82;57
175;79;57
172;78;56
134;43;56
177;81;56
181;84;56
199;104;56
165;68;56
173;83;56
156;65;56
169;72;56
167;72;56
190;91;56
160;63;56
185;90;56
174;81;55
163;64;55
165;66;55
199;107;55
181;90;55
178;88;55
158;62;55
187;91;55
163;69;54
170;73;54
163;71;54
155;61;54
179;85;54
170;77;54
179;83;54
167;76;54
156;64;54
180;85;54
162;71;54
174;77;54
179;83;53
161;68;53
169;70;53
183;86;53
157;62;53
154;54;53
191;101;53
156;66;52
177;86;52
138;40;52
164;71;52
178;81;52
173;78;52
159;62;52
174;77;52
173;81;52
170;73;52
165;70;52
164;65;51
173;81;51
168;78;51
192;93;51
162;67;51
177;85;51
166;70;51
172;73;51
154;55;51
174;77;51
171;77;51
184;92;51
154;56;51
146;47;51
168;72;51
156;57;51
144;46;50
173;83;50
173;73;50
173;78;50
172;80;50
177;86;50
179;79;50
167;75;50
193;100;50
119;25;50
185;92;50
173;76;50
185;94;50
183;89;50
186;93;50
152;58;50
199;106;49
164;66;49
171;74;49
168;76;49
201;101;49
161;71;49
175;85;49
182;90;49
164;69;49
179;83;49
139;43;49
145;46;49
163;67;49
158;65;49
171;73;49
178;85;49
174;82;49
172;72;49
155;59;49
194;101;49
154;55;49
183;90;49
149;59;49
159;59;48
187;90;48
159;63;48
138;39;48
177;83;48
164;69;48
170;70;48
138;39;48
164;73;48
165;75;48
171;72;48
178;79;48
156;64;48
167;69;48
175;76;48
179;87;48
165;74;48
185;86;48
178;84;48
170;75;48
182;88;48
140;42;48
177;78;48
173;82;47
178;81;47
155;59;47
190;95;47
179;89;47
180;89;47
194;98;47
175;78;47
164;67;47
147;51;47
177;78;47
173;80;47
185;87;47
188;97;47
185;95;47
167;74;47
168;73;47
161;63;47
178;84;46
177;87;46
136;43;46
185;95;46
167;71;46
169;70;46
170;78;46
172;74;46
167;75;46
164;70;46
143;44;46
165;67;46
177;77;46
163;73;46
192;96;46
182;90;46
178;78;46
154;59;46
179;88;46
170;75;46
155;58;46
169;79;46
173;82;46
179;88;46
181;86;46
193;103;46
163;67;46
171;78;46
145;48;46
190;98;46
180;88;45
163;72;45
178;86;45
160;68;45
148;53;45
185;85;45
160;69;45
171;80;45
190;100;45
163;63;45
181;90;45
167;74;45
169;75;45
166;74;45
177;83;45
157;61;45
175;78;45
160;61;45
158;63;45
165;65;45
180;87;45
172;77;45
189;92;45
180;87;45
166;74;45
155;56;45
192;93;45
164;74;45
186;93;45
164;70;45
173;78;44
180;87;44
147;54;44
178;82;44
156;64;44
148;52;44
194;98;44
173;75;44
194;104;44
164;67;44
179;85;44
196;100;44
170;73;44
155;63;44
170;79;44
190;93;44
155;56;44
188;92;44
173;74;44
171;79;44
166;72;44
173;76;44
183;83;44
185;93;44
135;39;44
163;67;44
182;88;44
162;67;44
181;84;44
174;75;44
187;87;44
183;90;44
144;52;44
177;77;44
134;42;44
154;58;44
182;90;44
161;62;44
201;111;44
166;74;44
166;70;43
161;70;43
166;68;43
150;52;43
158;61;43
184;89;43
173;73;43
147;48;43
165;73;43
150;57;43
169;69;43
176;82;43
180;87;43
155;63;43
158;60;43
160;69;43
152;52;43
175;83;43
153;54;43
158;66;43
151;55;43
139;43;43
173;83;43
198;99;43
164;72;43
153;58;43
138;46;43
184;92;42
148;57;42
184;92;42
167;69;42
182;86;42
188;91;42
161;61;42
164;73;42
174;84;42
155;65;42
162;67;42
140;44;42
167;71;42
159;59;42
155;63;42
166;76;42
165;73;42
206;109;42
164;71;42
187;92;42
163;68;42
165;65;42
161;65;42
174;84;42
174;83;42
157;64;42
155;58;42
159;66;42
174;82;42
186;86;42
152;61;42
154;62;42
174;78;42
169;69;42
157;60;42
191;94;42
162;69;41
170;73;41
156;64;41
163;66;41
166;74;41
154;63;41
174;74;41
178;88;41
181;86;41
156;61;41
192;101;41
182;85;41
163;67;41
156;58;41
163;73;41
179;89;41
213;116;41
175;84;41
181;86;41
192;101;41
188;88;41
182;87;41
191;101;41
186;94;41
180;88;41
171;81;41
144;52;41
213;121;41
174;80;41
165;73;41
151;55;41
170;73;41
176;78;41
149;52;40
194;97;40
176;76;40
160;60;40
181;84;40
169;75;40
131;33;40
175;79;40
167;77;40
132;37;40
163;67;40
145;53;40
147;49;40
176;85;40
164;71;40
193;101;40
175;80;40
171;76;40
182;83;40
173;83;40
165;69;40
187;91;40
162;70;40
148;53;40
166;75;40
145;54;40
176;76;40
175;79;40
157;64;40
158;62;40
140;47;40
142;50;40
165;69;40
187;95;40
162;72;40
197;102;40
159;68;39
160;70;39
146;47;39
180;90;39
170;70;39
174;78;39
180;80;39
194;101;39
147;57;39
159;64;39
197;107;39
179;84;39
165;68;39
168;72;39
160;66;39
182;91;39
152;60;39
181;86;39
165;75;39
139;47;39
165;68;39
169;72;39
157;61;39
191;100;39
169;70;39
180;89;39
187;87;39
173;77;39
205;112;39
167;75;39
186;95;39
145;52;39
179;89;39
126;30;39
193;95;39
155;58;39
183;87;39
188;97;39
183;87;39
184;86;39
186;93;39
180;81;39
167;74;39
163;73;39
163;71;38
173;74;38
176;86;38
176;78;38
159;69;38
167;75;38
151;54;38
142;43;38
166;71;38
174;79;38
155;60;38
204;112;38
147;54;38
150;50;38
172;72;38
166;72;38
192;95;38
167;74;38
149;49;38
182;89;38
179;88;38
171;72;38
216;126;38
170;70;38
179;80;38
181;81;38
181;88;38
155;60;38
172;80;38
173;79;38
157;63;38
156;64;38
176;76;38
156;66;38
172;81;38
162;66;38
186;89;38
144;46;38
171;77;38
190;92;38
170;78;38
163;65;38
161;63;38
164;71;38
183;90;37
189;96;37
170;77;37
162;66;37
169;75;37
180;81;37
191;94;37
156;57;37
204;111;37
164;73;37
214;124;37
163;63;37
185;94;37
157;65;37
161;68;37
195;96;37
175;82;37
187;95;37
170;79;37
140;50;37
180;88;37
178;84;37
187;87;37
155;64;37
209;119;37
178;79;37
218;124;37
159;66;37
152;53;37
156;56;37
163;65;37
167;77;37
192;93;37
194;104;37
182;83;37
173;75;37
181;89;37
162;63;37
144;50;37
181;87;37
162;65;37
157;67;37
160;63;37
144;46;37
160;68;37
148;53;37
162;66;37
174;82;36
191;97;36
170;70;36
170;73;36
157;66;36
188;97;36
184;84;36
146;54;36
178;78;36
138;48;36
176;76;36
169;76;36
193;99;36
158;60;36
154;63;36
143;53;36
166;73;36
152;61;36
156;63;36
145;50;36
184;84;36
194;94;36
182;91;36
170;70;36
208;108;36
157;63;36
154;54;36
169;76;35
170;73;35
176;82;35
160;69;35
155;65;35
193;97;35
200;100;35
160;61;35
171;75;35
178;79;35
186;92;35
169;73;35
164;65;35
172;77;35
151;61;35
147;57;35
182;82;35
162;70;35
200;106;35
159;63;35
174;74;35
148;48;35
138;40;35
165;65;35
166;68;35
177;86;35
170;74;35
163;67;35
171;71;35
154;54;35
138;47;35
201;101;35
159;61;35
170;71;35
179;89;35
163;71;35
150;56;35
147;47;35
174;84;35
179;85;35
145;50;35
162;69;35
186;88;34
181;90;34
163;72;34
180;85;34
174;78;34
177;81;34
172;73;34
152;59;34
157;67;34
141;47;34
166;74;34
166;75;34
180;84;34
205;108;34
154;58;34
155;60;34
139;45;34
183;85;34
179;79;34
169;72;34
160;61;34
179;88;34
196;96;34
158;67;34
194;97;34
128;31;34
188;92;34
160;62;34
167;67;34
152;56;34
180;81;34
184;85;34
143;46;34
174;84;34
188;94;34
175;75;34
170;72;34
147;52;34
180;87;34
164;71;34
135;43;34
140;44;34
151;57;34
179;87;33
185;90;33
178;83;33
168;77;33
180;85;33
184;86;33
172;73;33
176;78;33
166;71;33
177;78;33
146;53;33
165;75;33
204;112;33
156;57;33
163;71;33
191;99;33
176;84;33
173;78;33
176;83;33
189;92;33
201;110;33
166;68;33
174;84;33
170;73;33
142;44;33
142;43;33
171;72;33
164;72;33
171;77;33
170;74;33
192;97;33
191;95;33
172;77;33
152;57;33
160;68;33
201;104;33
168;75;33
168;76;33
161;69;32
154;60;32
169;72;32
147;53;32
185;90;32
151;52;32
157;59;32
179;89;32
182;92;32
171;74;32
190;90;32
183;88;32
181;82;32
182;85;32
166;69;32
175;80;32
165;66;32
176;82;32
169;70;32
152;54;32
164;66;32
178;82;32
159;69;32
166;76;32
172;76;32
164;71;32
195;102;32
170;75;32
183;87;32
152;53;31
178;86;31
188;97;31
161;68;31
142;52;31
164;68;31
173;83;31
161;69;31
179;87;31
175;80;31
151;58;31
173;81;31
195;103;31
188;98;31
182;88;31
169;75;31
140;44;31
175;82;31
153;63;31
153;58;31
173;81;31
167;69;31
180;80;31
172;76;31
185;88;31
170;75;31
168;69;31
145;51;31
184;93;31
159;64;31
151;58;31
156;61;31
173;82;31
164;65;30
156;57;30
170;77;30
166;66;30
171;73;30
182;91;30
179;79;30
178;84;30
162;69;30
169;73;30
160;65;30
165;72;30
167;68;30
172;79;30
173;73;30
156;58;30
195;95;30
194;102;30
171;77;30
199;100;30
171;77;30
162;63;30
171;73;30
142;46;30
173;79;30
164;64;30
208;115;30
176;78;30
157;60;30
169;74;30
177;86;30
180;84;30
136;42;29
174;75;29
161;66;29
171;76;29
152;53;29
157;63;29
145;49;29
158;66;29
184;84;29
186;96;29
188;93;29
164;71;29
173;73;29
165;69;29
170;73;29
171;79;29
155;57;29
195;104;29
156;62;29
178;85;29
162;63;29
161;71;29
149;49;29
154;64;29
169;74;29
168;73;29
186;95;29
161;62;28
174;80;28
175;79;28
163;64;28
171;79;28
193;99;28
197;99;28
176;83;28
168;71;28
171;76;28
174;75;28
175;85;28
181;81;28
186;88;28
165;69;28
158;68;28
157;67;28
165;75;28
181;90;28
179;80;28
190;94;28
167;76;28
173;80;28
167;76;28
168;72;28
172;78;28
130;36;28
136;46;28
179;85;28
138;40;28
171;71;28
175;84;28
171;72;28
194;95;27
171;80;27
201;111;27
151;55;27
178;88;27
160;64;27
168;69;27
172;81;27
164;72;27
178;82;27
147;48;27
187;93;27
180;83;27
190;94;27
165;66;27
153;55;27
162;65;27
155;59;27
194;102;27
164;66;27
177;81;27
155;61;27
174;84;27
172;79;27
148;54;27
163;72;27
163;69;27
173;77;27
162;66;26
181;81;26
188;95;26
174;76;26
155;62;26
192;93;26
185;93;26
157;59;26
145;49;26
154;64;26
190;92;26
155;62;26
185;90;26
159;61;26
163;72;26
157;64;26
161;69;26
174;75;26
164;66;26
181;81;26
169;79;26
169;77;26
159;62;26
157;61;25
184;94;25
202;112;25
172;81;25
179;83;25
176;78;25
188;90;25
175;82;25
150;50;25
162;66;25
169;72;25
192;93;25
169;74;25
153;60;25
176;82;25
157;60;25
166;68;25
158;63;24
175;80;24
161;66;24
149;49;24
158;60;24
180;88;24
191;91;24
198;105;24
160;70;24
190;99;24
176;78;24
203;107;24
192;95;24
160;64;24
180;90;24
144;49;24
175;77;24
172;79;23
156;61;23
158;62;23
150;50;23
162;70;23
143;52;23
193;96;23
160;65;23
180;81;23
187;94;23
196;102;23
152;56;22
155;56;22
187;96;22
168;75;22
184;86;22
135;39;22
181;84;22
174;76;22
181;91;22
155;55;22
184;89;22
171;75;22
162;71;22
141;50;22
158;61;21
169;73;21
166;67;21
180;86;21
159;63;21
143;50;21
197;102;21
179;80;21
192;95;21
161;61;21
192;101;21
178;87;21
185;88;21
166;66;20
148;51;20
170;80;20
157;59;20
160;68;20
209;113;20
149;55;37
162;63;37
186;88;37
168;72;37
173;78;37
187;93;37
187;94;37
214;116;37
171;77;37
163;67;37
172;78;37
160;63;37
145;48;37
175;84;37
174;81;37
155;59;37
157;66;37
167;71;37
190;98;37
158;68;37
168;73;37
166;75;37
175;78;37
176;85;37
135;42;37
153;60;37
168;75;37
